Source MAC,Destination MAC,Ethernet Type,Source IP,Destination IP,Length,TTL,Source Port,Destination Port,Protocol,Timestamp,Urgency,Error Type,Modbus Message Address,Modbus Error Control,Modbus Data
00:0c:29:c6:95:8b,00:50:56:f8:41:39,0x800,172.16.239.128,104.46.162.224,40,64,45126,443,TCP,1716294709.1914852,N/A,N/A,,,
00:0c:29:c6:95:8b,00:50:56:f8:41:39,0x800,172.16.239.128,34.117.188.166,79,64,44410,443,TCP,1716294721.71225,N/A,N/A,,,
00:50:56:f8:41:39,00:0c:29:c6:95:8b,0x800,34.117.188.166,172.16.239.128,40,128,443,44410,TCP,1716294721.7132015,N/A,N/A,,,
00:50:56:f8:41:39,00:0c:29:c6:95:8b,0x800,34.117.188.166,172.16.239.128,79,128,443,44410,TCP,1716294721.7287133,N/A,N/A,,,
00:0c:29:c6:95:8b,00:50:56:f8:41:39,0x800,172.16.239.128,34.117.188.166,40,64,44410,443,TCP,1716294721.7713816,N/A,N/A,,,
00:0c:29:c6:95:8b,00:50:56:f8:41:39,0x800,172.16.239.128,172.16.239.2,74,64,38099,53,UDP,1716294725.6395333,N/A,N/A,,,
00:0c:29:c6:95:8b,00:50:56:f8:41:39,0x800,172.16.239.128,172.16.239.2,74,64,54931,53,UDP,1716294725.6419384,N/A,N/A,,,
00:50:56:f8:41:39,00:0c:29:c6:95:8b,0x800,172.16.239.2,172.16.239.128,90,128,53,38099,UDP,1716294725.6696246,N/A,N/A,,,
00:0c:29:c6:95:8b,00:50:56:f8:41:39,0x800,172.16.239.128,104.46.162.224,40,64,45126,443,TCP,1716294725.6773524,N/A,N/A,,,
